x,y,z,value
0,0,0,7.615164531113502
0,0,1,7.733990698555122
0,0,2,7.663807888933201
0,0,3,6.799331243798342
0,0,4,7.246709451673048
0,0,5,7.964498440516882
0,0,6,7.342481717341467
0,0,7,7.422698615970688
0,1,0,5.1292589794240495
0,1,1,5.35146836580965
0,1,2,5.635423567326569
0,1,3,5.06701575148089
0,1,4,5.998565068527516
0,1,5,5.32618320403199
0,1,6,4.96282810331071
0,1,7,4.78000109766055
0,2,0,3.651188320944581
0,2,1,3.8411960819291227
0,2,2,4.006202594925476
0,2,3,3.8512693321646454
0,2,4,3.504336584266512
0,2,5,3.208115058671473
0,2,6,3.2595426497312214
0,2,7,3.5605874832735367
1,0,0,3.421363477101136
1,0,1,4.093456398603491
1,0,2,3.58557900231862
1,0,3,3.0117622904378836
1,0,4,3.3981969975253175
1,0,5,3.98718635853944
1,0,6,4.022940267227315
1,0,7,3.847168052603083
1,1,0,1.8883470775023679
1,1,1,2.69007418333249
1,1,2,1.7572579847486751
1,1,3,1.860997506929731
1,1,4,2.7761257836243036
1,1,5,1.9576050292861167
1,1,6,2.570880236831677
1,1,7,1.4581388477145711
1,2,0,2.170319171240139
1,2,1,1.8000242527733894
1,2,2,1.1028533170359018
1,2,3,1.463816837563846
1,2,4,1.318254368307807
1,2,5,1.0033703549610624
1,2,6,1.5168580758712726
1,2,7,1.7963464224754342
2,0,0,1.588628129940399
2,0,1,2.374436723893879
2,0,2,2.875963678517605
2,0,3,2.38126420987268
2,0,4,1.917169471038462
2,0,5,2.6945036113021854
2,0,6,2.7327446382981107
2,0,7,1.5824478254208834
2,1,0,1.356217654143833
2,1,1,0.6362717217020137
2,1,2,2.3434084800934825
2,1,3,1.7473530391463896
2,1,4,1.5155450625348577
2,1,5,1.1937805141741258
2,1,6,1.2481509143135607
2,1,7,1.8257538020279203
2,2,0,2.4972194153879927
2,2,1,0.6404656504921145
2,2,2,1.7973482340618097
2,2,3,1.7379118181614621
2,2,4,1.4144897084229642
2,2,5,1.4201603145306043
2,2,6,1.1866864456004007
2,2,7,2.348560593190587
