x,y,z,value
0,0,0,1.8088359987447011
0,0,1,3.0079857722306746
0,0,2,1.766321384556286
0,1,0,1.6493991148453437
0,1,1,2.7091198241455383
0,1,2,1.5781756407932392
0,2,0,1.5862739258684604
0,2,1,2.6238905278264806
0,2,2,1.533233340385135
1,0,0,1.5368136070114526
1,0,1,2.523941727625635
1,0,2,1.4708635959399368
1,1,0,0.5632874421883086
1,1,1,0.9450259899644173
1,1,2,0.5644796227972295
1,2,0,1.5394209659902387
1,2,1,2.5300650673568184
1,2,2,1.4757762873529225
2,0,0,1.3774970487475882
2,0,1,2.271376356012667
2,0,2,1.3213606064172845
2,1,0,1.1114694928096487
2,1,1,1.9057037780080168
2,1,2,1.1122145986628502
2,2,0,1.6882361799567407
2,2,1,2.8033500201551966
2,2,2,1.6412588183498844
