x,y,z,value
0,0,0,1.0303892471541722
0,0,1,1.2358585089682848
0,0,2,1.2469379981133957
0,1,0,0.3291044869230353
0,1,1,0.31723312250734687
0,1,2,0.40567791937114117
0,2,0,0.8388943044228465
0,2,1,0.9381387521084699
0,2,2,1.0047362869569771
1,0,0,1.2943413397840526
1,0,1,1.5140305596368402
1,0,2,1.5264151063780096
1,1,0,0.9554148916092039
1,1,1,1.1144771043908355
1,1,2,1.170582718930751
1,2,0,0.7573113186699434
1,2,1,0.9582442515762815
1,2,2,0.8831429471746568
2,0,0,1.2879869032730553
2,0,1,1.402867320193651
2,0,2,1.461518891674649
2,1,0,1.1832537230377063
2,1,1,1.3564688683611679
2,1,2,1.3812614035066977
2,2,0,0.7594250727074652
2,2,1,0.8735530756825807
2,2,2,0.898359274315458
