1.258044365937746489e+00,1.164857463509196167e+00,1.220024621459680353e-01,9.085459436896866636e-01,1.136150692296102438e+00,3.297586432088416286e-01,1.134793173947264755e+00,9.074022950827206335e-01
1.173187517571513183e+00,2.415322976653808684e-01,5.528435373629532190e-01,1.777631652216568603e-01,1.526297592996560093e+00,6.669668832552800852e-01,1.118836053449797419e+00,1.533527073528689055e-01
1.478777301229918129e+00,9.041803149037882514e-01,1.200078888203641725e+00,5.637767950747905044e-01,7.997856099741039726e-01,1.089945095840036293e+00,6.327178511663360538e-01,1.002235984779633826e+00
6.609467973812910291e-01,8.009685717362794444e-01,3.627570823822525159e-01,-7.691629798496188442e-02,7.040503045754928912e-01,6.703452570104998509e-01,4.343997203591541401e-01,4.918714104773360685e-01
4.557814575746980679e-01,1.294624511013184875e-01,8.508433689192934635e-02,5.505811996735581193e-01,7.436048781313879807e-01,3.836735986991523517e-01,9.203526683123987029e-01,4.848865631571333545e-01
6.080749533649022487e-01,7.736929105408327789e-01,8.520741308542305603e-01,7.300002413753581276e-02,5.997215355081336741e-01,9.196547541406266957e-01,1.212610733510858463e+00,1.160738481007587808e+00
5.753516516986880713e-01,1.286872420743514489e+00,5.245926250210649622e-01,1.210755181117362023e+00,-4.101064262495706103e-01,7.860896688919073449e-01,2.577183493819354410e-01,5.129213681377340350e-01
3.066707700806873826e-01,-7.465215003574189601e-02,9.995300766426554531e-03,1.330049260014965151e+00,6.469613659938071581e-01,3.486948467650994310e-01,-3.376137481032505661e-01,6.833204734064698416e-01
6.443681932941416335e-01,1.291044087286271069e-01,7.072463660974069866e-01,1.433762487704303590e+00,6.082175050584354148e-01,1.843124161715073983e-01,-3.960789971437767010e-01,6.599384223939883665e-01
9.253969588878402375e-01,1.092189781131087001e+00,1.724807546099041133e-01,9.117036884633297755e-02,1.138972268342741234e+00,5.550857738590502660e-02,5.021912213160216742e-01,2.858326599076054242e-01
6.962787887470804904e-01,5.432686222977616275e-01,7.982555148821046664e-01,1.043738094607011169e+00,1.001622873476941900e+00,1.225122302854699363e+00,1.055562019739345825e+00,3.736207604939669746e-01
1.310064964582206670e+00,2.050082338333995557e-01,1.020937331913790880e+00,2.908425474584010462e-01,-4.347641473938339968e-02,1.406535483920515306e+00,1.381959882024325292e+00,9.365322322372812147e-01
